"Height","Roughness","Segregation","Diversity"
-12.2695925922575,-13.5619075552081,-0.666678091423723,-0.715372410748439
-12.1315269263445,-13.2663232255822,-0.0993995046809158,-2.35370138544456
-12.5611893755436,-16.1180956509583,-1.29980778567287,-0.244881489049695
-12.6647100754506,-16.1180956509583,-1.34585300741511,-0.190929810293098
-12.8914167494331,-16.1180956509583,-1.18562333838507,-0.251314299709486
-12.3820110977509,-16.1180956509583,-1.00851017981952,-0.391280325228895
-12.7768209708496,-16.1180956509583,-1.43508410528941,-0.154150563160598
-12.3994984266564,-14.2705940481196,-0.592492520788735,-0.7878584351569
-12.2257065350634,-13.5223649389392,-0.726942214068057,-0.652817646042757
-12.6928146225757,-16.1180956509583,-1.54044457428059,-0.100083348030673
-12.1228510573938,-13.5099771267753,-0.712969457526993,-0.66526519768518
-11.949329302732,-13.4594709612822,-0.0667590279932591,-2.73712716659638
-12.4679674202252,-16.1180956509583,-1.04888036714946,-0.366666994275438
-12.2061668499673,-15.5172117965789,-0.739035676122766,-0.630684278150981
-11.4183687767616,-12.6327508568167,-0.593204544045414,-0.796819119697004
-12.1305634602961,-13.5853309242578,-0.575674536701092,-0.822384809717215
-12.741061871837,-16.1180956509583,-1.36586906435502,-0.168136803492146
-12.9945772070084,-16.1180956509583,-1.35074299082623,-0.125671095114467
-12.9499036220491,-16.1180956509583,-1.60943741243423,-0.0689927643441001
-12.492337322961,-14.1544199620669,-0.705880952176237,-0.659755532370707
-12.3859852900844,-14.6999536042358,-0.862565095594943,-0.515163857973299
-13.0037682271578,-16.1180956509583,-1.54489892254664,-0.0689927643441001
-12.7266705293382,-16.1180956509583,-1.33222676090232,-0.216222984331713
-12.1633444369908,-13.7100281429904,-0.107016125039544,-2.28328660522015
-12.4703752273215,-16.1180956509583,-1.06250699466433,-0.380055246346248
-11.5281370154778,-12.5168700714749,-0.584513350207385,-0.803797571732803
-12.5388151263461,-16.1180956509583,-0.990981355088025,-0.405464958108176
-12.3553532368465,-14.3995683836366,-0.8646893656722,-0.521556057646362
-12.5385847338997,-16.1180956509583,-1.09007708876789,-0.35782669381357
-12.7174684318079,-16.1180956509583,-1.33222676090232,-0.216222984331713
-12.5247790335638,-14.3260112345313,-0.771951461661353,-0.593601158552638
