"FD","Fractal","nparticle","mass"
-9.29914370841539,-2.71721056480594,13.2618741578062,-23.9278700110937
-9.23390249677109,-2.76891502135372,13.5285370344324,-23.7763059068214
-9.21245031894114,-2.72938730163595,13.5285370344324,-23.6696559815289
-9.15234760154284,-2.77895698628157,13.7744843759325,-23.5301341026295
-9.09297484805877,-2.82186507724749,14.0090433664881,-23.3931524017215
-9.0753203468584,-2.78821131315544,14.0090433664881,-23.2993781750527
-9.02004117617087,-2.8291627357383,14.227082978416,-23.1715057424319
-9.0035933090583,-2.79555739054509,14.227082978416,-23.0836259140509
-8.95094824600043,-2.83634452309543,14.4360780850758,-22.9628277928017
-8.93502404510756,-2.8017467334572,14.4360780850758,-22.8775160922788
-8.88490923878433,-2.84187064569636,14.6343414812368,-22.7620695345374
-8.86946121814142,-2.80613583845985,14.6343414812368,-22.679219788515
-8.82038433174388,-2.84712472309905,14.8284309623656,-22.5664884363736
-8.80504874859411,-2.80977804797821,14.8284309623656,-22.4843509225234
-13.0584299317312,-0.79417433446197,1.79175946922805,-34.8790631616099
-12.9616056639064,-0.973286628020817,2.19722457733622,-34.6810655011762
-12.9644768109622,-1.01534021677971,2.19722457733622,-34.7930995084636
-12.8177065565059,-1.13137382522101,2.56494935746154,-34.3600778549901
-12.7716760158,-1.0904162199246,2.56494935746154,-34.1796283125016
-12.6396666420452,-1.30769350478946,3.09104245335832,-33.9040961939896
-12.5821813517912,-1.24466722168759,3.09104245335832,-33.6637627619344
-12.4290687640952,-1.48093469078736,3.70376806660769,-33.3217206214715
-12.3632232434887,-1.39611347301049,3.70376806660769,-33.0358168066496
-12.1996810509033,-1.61045871514262,4.32015123095579,-32.6518724362709
-12.0233828354232,-1.81577321310545,4.97258722645873,-32.240388342382
-11.9604609298182,-1.72680167486403,4.97258722645873,-31.9309525785158
-11.7806426346189,-1.92052125007865,5.63264444682286,-31.5037098531126
-11.7143686222088,-1.82928177997326,5.63264444682286,-31.1815213264592
-11.5341686816345,-2.01399293679132,6.30335130825658,-30.7484301510955
-11.4651579654079,-1.92270507855347,6.30335130825658,-30.4186089507356
-11.2861487469963,-2.09609834180491,6.97951764520903,-29.9849445579672
-11.2148390315711,-2.00599381302489,6.97951764520903,-29.6507085712173
-11.0385432253164,-2.16902875752158,7.65813309299635,-29.2202557421645
-10.9653853125623,-2.08085548861806,7.65813309299635,-28.8844768735129
-10.7919180284619,-2.23572210516072,8.3387839714422,-28.4598016527602
-10.6112313130443,-2.38581909089421,9.01947038121227,-28.0260683367338
-10.5487229114645,-2.29772713602947,9.01947038121227,-27.712406612064
-10.3737502367702,-2.44133424528856,9.69838036370802,-27.2930939917012
-10.3129490560026,-2.3571327220489,9.69838036370802,-26.9928604093403
-10.147713589778,-2.49352116207026,10.3720776832634,-26.6004431010026
-10.0916862112847,-2.41387859854607,10.3720776832634,-26.325679516689
-9.94154445541037,-2.5403295932418,11.0234763926304,-25.9768982588414
-9.89336704609832,-2.46402518607048,11.0234763926304,-25.7391049860595
-9.76355245226033,-2.58018780092308,11.5983248767751,-25.4381182307678
-9.64415681795435,-2.68320594490746,12.0916825971766,-25.1564947193249
-9.61069130582842,-2.61416546315652,12.0916825971766,-24.9745808202212
-9.5039670450302,-2.70853461107066,12.5382628702672,-24.7287452848161
-9.4752154943713,-2.64240356865559,12.5382628702672,-24.5715212635781
